Svenska;Spanska;Kategori
urin;Orina;Sjukvård
avföring, (feces);Heces;Sjukvård
avföringsprov;Muestra de heces;Sjukvård
tjära;Alquitrán;Sjukvård
fastande;en ayunas;Sjukvård
saliv;Saliva;Sjukvård
sjukdomsförlopp; ;Sjukvård
förebygga;Prevenir;Sjukvård
analys;Análisis;Sjukvård
rutinprov;Prueba rutinaria;Sjukvård
äggvita;Proteína, albúmina;Sjukvård
reagenssticka;Tira reactiva;Sjukvård
socker;Azúcar, glucosa;Sjukvård
bakterier;Bacteria, bacterias;Sjukvård
baciller;Bacilo, microbio;Sjukvård
urinodling;Cultivo de orina;Sjukvård
ryggmärgsvätska;Líquido encéfaloespinal, Líquido cefalorraquídeo, líquido cerebroespinal;Sjukvård
spinalvätska;Líquido cefalorraquídeo, líquido cerebroespinal;Sjukvård
resistensbestämning;Antibiograma;Sjukvård
blodförgiftning;Sepsis;Sjukvård
antikroppar;Anticuerpos;Sjukvård
antikroppsundersökning;Análisis de anticuerpos;Sjukvård
immuniteten;Inmunidad;Sjukvård
slätröntgen;Radiografía simple o convencional;Sjukvård
skiktröntgen;TAC, tomografia (axial) computarizada;Sjukvård
kontrastmedel;Contraste;Sjukvård
scintigrafi;Gammagrafía, centellografía, cintigrafía, escintigrafía;Sjukvård
vävnadsskador;Daños de tejido, lesiones tilulares;Sjukvård
datortomograf, CT;Tomografía Computarizada (TC);Sjukvård
PET;Tomografía por emisión de positrones;Sjukvård
magnetisk resonanstomografi;Resonancia magnética;Sjukvård
ultraljudsundersökning;Ecografía, examen de ultasonido;Sjukvård
magnetkameraröntgen;Resonancia magnética;Sjukvård
ljudvågor;Ondas sonoras;Sjukvård
fosterdiagnostik;Diagnóstico prenatal, diagnósitico fetal;Sjukvård
cystor;Quistes;Sjukvård
ekokardiografi -;Ecocardiografía, ecocardio;Sjukvård
lavemang;Enema (med), lavativa;Sjukvård
endoskopiska undersökningar;Pruebas endoscópicas;Sjukvård
lokalbedövning;Anestesia local;Sjukvård
endoskopisk kirurgi, titthålskirurgi;Cirugía endoscópica, cirugía minimamente invasiva;Sjukvård
artroskopi;Artroscopia;Sjukvård
bronkoskopi;Broncoscopia;Sjukvård
koloskopi;Colonoscopia;Sjukvård
cystoskopi;Cistoscopia;Sjukvård
gastroskopi;Gastroscopia;Sjukvård
laparoskopi;Laparoscopia;Sjukvård
rektoskopi;Rectoscopia;Sjukvård
gynekolog;Ginecólogo;Sjukvård
gynekologisk undersökningsstol;Silla ginecológica, silla de reconocimiento ginecológico;Sjukvård
ömhet;Sensibilidad;Sjukvård
sjukliga förändringar;Cambios patológicos;Sjukvård
cellprov;Citología;Sjukvård
cellförändringar;Alteraciones celulares, cambios celulares;Sjukvård
barnmorska;Matrona, comadrona, partera;Sjukvård
kolposkopi;Colposcopia;Sjukvård
PAD; ;Sjukvård
polyper;Pólipos;Sjukvård
myom, muskelknuta;Mioma;Sjukvård
elektroencefalografi EEG;Electroencefalografía;Sjukvård
arbets-EKG;Electrocardiograma de esfuerzo;Sjukvård
kanyl;Cánula;Sjukvård
biopsi; ;Sjukvård
vävnadsprov;Prueba de tejido, muestra de tejido, biopsia;Sjukvård
lumbalpunktion, LP;Punción lumbar;Sjukvård
befruktad äggcell;Óvulo fecundado;Sjukvård
medfödd missbildning;Malformación congénita, deformidad congénita, deformación;Sjukvård
Förvärvad missbildning;Malformación adquirida;Sjukvård
nervcell;Neurona, célula nerviosa;Sjukvård
nervimpuls;Impulso nervioso;Sjukvård
Samhällskunskap;Ciencias sociales;Samhällskunskap
Arbetarrörelsen;El movimiento obrero;Samhällskunskap
Statsvetenskap;Ciencia política;Samhällskunskap
Nationalekonomi;Economía política;Samhällskunskap
Sociologi;Sociología;Samhällskunskap
Juridik;Derecho;Samhällskunskap
Demokrati;Democracia;Samhällskunskap
Samhälle;Sociedad;Samhällskunskap
Rättsregler;Normas jurídicas;Samhällskunskap
Grundlagar;Leyes orgánicas;Samhällskunskap
Konstitution;Constitución;Samhällskunskap
Statsskick;Régimen;Samhällskunskap
Beslutande makt;Poder legislativo;Samhällskunskap
Verkställande makt;Poder ejecutivo;Samhällskunskap
Fri- och rättigheter;Libertades y derechos;Samhällskunskap
Medborgare;Ciudadano;Samhällskunskap
Lagar;Leyes;Samhällskunskap
Föreskrifter;Reglamento;Samhällskunskap
Riksdagsval;Elecciones parlamentarias/ generales;Samhällskunskap
Vallagen;La ley electoral;Samhällskunskap
Regeringsformen;La ley reguladora del gobierno sueco;Samhällskunskap
Könsneutral;Neutralidad de género;Samhällskunskap
Lagrådet;El consejo judicial;Samhällskunskap
Domstolar;Tribunales;Samhällskunskap
Diskriminering;Discriminación;Samhällskunskap
Sexuell läggning;Orientación sexual;Samhällskunskap
Nationella minoriteter;Minorías nacionales;Samhällskunskap
Europeiska unionen EU;La Unión Europea UE;Samhällskunskap
Förenta nationerna FN;La organización de las Naciones Unidas (ONU);Samhällskunskap
Europarådet;El consejo europeo;Samhällskunskap
Folkomröstning;Referéndum;Samhällskunskap
Successionsordningen SO;La ley de sucesiones;Samhällskunskap
Tryckfrihetsförordningen TF;La ley de libertad de prensa;Samhällskunskap
Yttrandefrihetsgrundlagen YGL;La ley de libertad de expresión;Samhällskunskap
Riksdagsordningen RO;La ley parlamentaria sueca;Samhällskunskap
Parlamentarism;Parlamentarismo;Samhällskunskap
Styrelseskick;Régimen;Samhällskunskap
Representativ demokrati;Democracia representativa;Samhällskunskap
Konung;Rey;Samhällskunskap
Drottning;Reina;Samhällskunskap
Statschef;Jefe de Estado;Samhällskunskap
Fri åsiktsbildning;Libertad de opinión;Samhällskunskap
Övergrepp;Abuso;Samhällskunskap
Fackliga friheter;Libertades sindicales;Samhällskunskap
Upphovsrätt;Derecho de autor;Samhällskunskap
Näringsfrihet;Libertad de empresa;Samhällskunskap
Yrkesfrihet;Libertad profesional;Samhällskunskap
Lagstiftning;Proceso legislativo;Samhällskunskap
Expropriation;Expropiación;Samhällskunskap
Informationsfrihet;Libertad de información;Samhällskunskap
Rikets säkerhet;La seguridad del estado;Samhällskunskap
Mötesfrihet;Libertad de reunión;Samhällskunskap
Demonstrationsfrihet;Libertad de manifestación;Samhällskunskap
Föreningsfrihet;Libertad de asociación;Samhällskunskap
Folkgrupp;Grupo étnico;Samhällskunskap
Etniskt ursprung;Origen étnico;Samhällskunskap
Absoluta fri- och rättigheter;Libertades y derechos absolutos;Samhällskunskap
Religionsfrihet;Libertad religiosa;Samhällskunskap
Dödsstraff;Pena de muerte, pena capital;Samhällskunskap
Tortyr;Tortura;Samhällskunskap
Kroppsstraff;Castigo corporal, castigo físico;Samhällskunskap
Privatlivets helgd;Derecho a la intimidad;Samhällskunskap
Trossamfund;Congregación o comunidad religiosa;Samhällskunskap
Åsiktsregistrering;Registro de opinión;Samhällskunskap
Kroppsvisitation;Cacheo;Samhällskunskap
Kroppsbesikting;Registro corporal;Samhällskunskap
Husrannsakan;Registro domiciliario;Samhällskunskap
Integritet;Integridad;Samhällskunskap
Samtycke;Consentimiento;Samhällskunskap
Landsförvisa;Exiliar, desterrar;Samhällskunskap
Rättssäkerhet;Seguridad jurídica;Samhällskunskap
Brott;Delito, crimen;Samhällskunskap
Rättegång;Juicio;Samhällskunskap
Offentlighetsprincipen;El principio de publicidad;Samhällskunskap
Kön;Género;Samhällskunskap
Stridsåtgärder;Acciones de conflicto colectivo (p.e. acciones sindicales);Samhällskunskap
Arbetsmarknaden;El mercado laboral;Samhällskunskap
Arbetstagare;Empleado;Samhällskunskap
Arbetsgivare;Empleador;Samhällskunskap
Allemansrätten;El derecho sueco que permite a las personas transitar por terrenos privados;Samhällskunskap
Missgynna;Desfavorecer;Samhällskunskap
Gynna;Favorecer;Samhällskunskap
Samer;Sami;Samhällskunskap
Europakonventionen;El convenio europeo (de derechos humanos);Samhällskunskap
Monarki;Monarquía;Samhällskunskap
Republik;República;Samhällskunskap
President;Presidente;Samhällskunskap
Statsminister;Primer ministro;Samhällskunskap
Statsråd;Ministro;Samhällskunskap
Talmannen;El presidente del parlamento;Samhällskunskap
Regeringen;El gobierno;Samhällskunskap
Regeringskansli;Gabinete del gobierno, administración del estado;Samhällskunskap
Departement;Ministerio;Samhällskunskap
Statsrådsberedning;Gabinete del primer ministro (¿?);Samhällskunskap
Förordning;Decreto;Samhällskunskap
Kommuner;Municipios;Samhällskunskap
Lagförslag;Proyecto de ley;Samhällskunskap
Högsta domstolen HD;El tribunal supremo;Samhällskunskap
Högsta förvaltningsdomstolen HFD;El tribunal supremo administrativo;Samhällskunskap
Domare;Juez;Samhällskunskap
Budgetförslag;Proyecto de presupuestos generales;Samhällskunskap
Skatter;Impuestos;Samhällskunskap
Anslag;Asignación presupuestaria;Samhällskunskap
Inkomster;Ingresos;Samhällskunskap
Valutapolitik;Política monetaria;Samhällskunskap
Riksbanken;El banco central;Samhällskunskap
Mellanfolkliga organisationer;Organizaciones internacionales;Samhällskunskap
Utrikesnämnden; ;Samhällskunskap
Rättsskipning;Administración de justicia;Samhällskunskap
Myndigheter;Autoridades públicas;Samhällskunskap
Lagprövningsrätt;El derecho de los tribunales a examinar si una ley está de acuerdo con la constitución.;Samhällskunskap
Justitiekanslern JK;el Canciller de Justicia;Samhällskunskap
Förvaltning;Administración pública;Samhällskunskap
Dispens;Exención (estar exento a algo);Samhällskunskap
Nåd;Indulto;Samhällskunskap
Konstitutionsutskottet KU;La comisión de asuntos constitucionales, La comisión en el parlamento que tiene la función de revisar el trabajo de los ministerios y el gobierno.;Samhällskunskap
Protokoll;Acta;Samhällskunskap
Riksdagsledamot;Parlamentario, Diputado;Samhällskunskap
Ärende;Asunto;Samhällskunskap
Åtal;Acción pública, acción penal, imputación;Samhällskunskap
Misstroendeförklaring;Voto de censura;Samhällskunskap
Interpellationer;Pregunta en el parlamento de un diputado a un ministro.;Samhällskunskap
Justitieombudsmännen JO, Riksdagens ombudsmän;El defensor del pueblo, La defensoría parlamentaria;Samhällskunskap
Riksrevisionen;"Dirección (f) Nacional Sueca de Fiscalización
 de la Gestión Pública (Utrikes Namnbok)";Samhällskunskap
Kommunalskatt;Impuesto municipal;Samhällskunskap
Krig och krigsfara;Guerra y riesgo de guerra;Samhällskunskap
Regent;Regente;Samhällskunskap
Avkomling;Descendente;Samhällskunskap
Kognatisk tronföljd; ;Samhällskunskap
Censurförbud;Prohibición contra la censura;Samhällskunskap
Förtal;Difamación, calumnia;Samhällskunskap
Kränkningar;Ultrajes, vejaciones, violaciones, delito de ofensa;Samhällskunskap
Meddelarfrihet;Libertad para comunicar irregularidades a los medios de comunicación;Samhällskunskap
Meddelarskydd;Protección de las fuentes de información;Samhällskunskap
Offentliga handlingar;Documentos públicos;Samhällskunskap
Anonymitet;Anonimato;Samhällskunskap
Kvalificerad majoritet;Mayoría cualificada;Samhällskunskap
Kammare;Cámara;Samhällskunskap
