SVENSKA;SPANSKA
10a§ Barnpornografibrott;Delito de pornografía infantil
10b§ Olaga våldsskildring;Delito de difusicón ilícita de imágenes violentas (de actos violentos contra personas o animales)
10d§ Otillåten utlämning av teknisk upptagning;Divulgación prohibida de grabaciones técnicas
11§ Otillåten förfarande med pornografisk bild;Exposición indebida de imagen pornográfica
12§ Förledande av ungdom;Corrupción de menores
13§ Djurplågeri;Maltrato de animales
14§ Dobbleri;Juego ilícito
14a§ Grovt dobbleri;Juego ilícito grave
15§ Falsk larm och missbruk av larmanordning;Alarma falsa y uso indebido de sistema de alarma
16§ Förargelseväckande beteende;Comportamiento escandaloso
1§ Våld eller hot mot tjänsteman;Violencia o amenaza contra funcionario público
2§ Förgripelse mot tjänsteman;Agresión contra funcionario
4§ Våldsamt motstånd;Resistencia violenta
8§ Otillbörlig inverkan vid omröstning/tagande av otillbörlig förmån vid röstning;Actividad indebida en un acto de elección y recepción indebida de recompensa por el voto.
9§ Brott mot rösthemlighet;Delito contra el voto secreto
10§ Övergrepp i rättssak;Interferencia en material judicial, obstrucción a la justicia
11§ Skyddande av brottsling;Encubrimiento
12§ Främjande av flykt;Complicidad en la evasión
13§ Överträdelse av myndighetens bud och hindrande av förrättning;Transgresión/incumplimiento de mandato de una autoridad y obstrucción de función pública
15§ Föregivande av allmän ställning;Atribución falsa de función pública, abuso de atribuciones
1§ Uppror;Rebelión, subelevación
3§ Väpnat hot mot laglig ordning;Amenaza armada contra orden legal
4§ Olovlig kårverksamhet;Formación de cuerpos ilícitos
5§ Brott mot medborgerlig frihet;Delito contra la libertad ciudadana
6§ Svikande av försvarsplikt;Abandono del deber de defensa militar
1§ Högförräderi;Alta traición
2§ Krigsanstiftan;Instigación (incitación) a la guerra
3§Trolöshet vid förhandling med främmande makt;Deslealtad en la negociación con potencia extranjera
4§Egenmäktighet vid förhandling med främmande makt;Arbitrariedad en negaciación con potencia extranjera
5§ Spioneri;Espionaje
6§ Grovt spioneri;Espionaje con agravante
7§ Obehörig befattning med hemlig uppgift;Intromisión / tenencia con información secreta
8§ Grov obehörig befattning med hemlig uppgift;Intromisión / tenencia con información secreta con agravante
9§ Vårdlöshet med hemlig uppgift;Negligencia con información secreta
10§ Olovlig underrättelseverksamhet mot Sverige;Actividades ilícitas de inteligencia contra Suecia
10a§ Olovlig underrättelseverksamhet mot främmande makt;Actividades ilícitas de inteligencia contra potencia extranjera
10b§ Olovlig underrättelseverksamhet mot person;Actividades ilícitas de inteligencia contra persona
